g9	0	0	0	152	280	8	8
g8	0	0	0	192	272	16	16
g7	0	0	0	176	272	16	16
g6	0	0	0	160	272	16	16
g5	0	0	0	144	272	16	16
g4	0	0	0	128	272	16	16
g3	0	0	0	112	272	16	16
g2	0	0	0	96	272	16	16
g1	0	0	0	80	272	16	16
g0	0	0	0	64	272	16	16
t5	0	0	0	16	48	48	48
t4	0	0	0	64	48	48	16
t3	0	200	0	0	48	64	48
t2	0	200	0	64	0	48	48
t1	0	200	0	0	0	64	48
f3_2	2	0	0	144	64	16	16
f3_1	2	0	0	128	64	16	16
f3_0	2	0	0	112	64	16	16
f2_2	2	0	0	144	48	16	16
f2_1	2	0	0	128	48	16	16
f2_0	2	0	0	112	48	16	16
f1_2	2	0	0	144	32	16	16
f1_1	2	0	0	128	32	16	16
f1_0	2	0	0	112	32	16	16
t0	0	230	0	64	192	96	48
mt1	0	230	0	0	288	64	64
mt2	0	230	0	64	288	64	64
f1	0	0	0	ANIMATION	160	f1_0	f1_1	f1_2
f2	0	0	0	ANIMATION	160	f2_0	f2_1	f2_2
f3	0	0	0	ANIMATION	160	f3_0	f3_1	f3_2
new_0	2	0	0	64	240	32	32
new_1	2	0	0	96	240	32	32
new	0	0	0	ANIMATION	1000	new_0	new_1
